                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94057,                 2.7502,                 1.1832,                0.02632,                0.33333,                0.33167,                0.29946,                0.81508,                 2.6854,                0.96608,             0.00035725,             0.00035725,             0.00035725
                      2,                0.92528,                 1.2762,                 1.0904,                0.98842,                0.33333,                0.43142,                0.33987,                0.89693,                 1.1692,                 1.0248,             0.00072518,             0.00072518,             0.00072518
                      3,                0.90714,                0.97935,                 1.1168,                0.68792,                0.55114,                0.65872,                0.41036,                0.89703,                 1.3192,                 1.0771,              0.0010894,              0.0010894,              0.0010894
                      4,                0.89132,                0.87395,                  1.105,                0.58103,                 0.7939,                0.73227,                0.48583,                0.63926,                 1.9384,                0.93801,              0.0014078,              0.0014078,              0.0014078
                      5,                0.85372,                0.83704,                 1.0701,                0.79729,                 0.9072,                0.89187,                0.51453,                0.85623,                 0.7871,                 1.0238,              0.0014007,              0.0014007,              0.0014007
                      6,                0.80936,                0.76098,                 1.0472,                0.88229,                0.97917,                0.98128,                0.60957,                0.72219,                0.82925,                0.95926,              0.0013936,              0.0013936,              0.0013936
                      7,                0.80202,                0.75605,                 1.0299,                0.77386,                0.90278,                0.94154,                0.59021,                0.78409,                 1.0254,                0.95662,              0.0013866,              0.0013866,              0.0013866
                      8,                0.80615,                0.71639,                 1.0292,                0.90347,                0.93923,                0.96047,                0.57774,                0.83956,                 0.7997,                0.96571,              0.0013795,              0.0013795,              0.0013795
                      9,                0.76713,                0.69087,                 1.0193,                0.96005,                0.97321,                0.97853,                0.56797,                0.88578,                0.70435,                0.97742,              0.0013724,              0.0013724,              0.0013724
                     10,                 0.7532,                0.64506,                 1.0199,                0.96975,                0.97917,                0.99024,                0.65488,                0.80822,                0.65359,                0.96787,              0.0013653,              0.0013653,              0.0013653
                     11,                0.73331,                0.61476,                 1.0017,                0.92409,                      1,                0.97917,                0.66941,                0.71409,                0.62538,                0.93151,              0.0013583,              0.0013583,              0.0013583
                     12,                0.75089,                0.62558,                 1.0122,                0.96967,                0.97917,                0.99278,                0.62918,                0.86846,                0.68914,                0.98402,              0.0013512,              0.0013512,              0.0013512
                     13,                0.74255,                0.61506,                 1.0111,                0.93488,                0.95427,                0.94947,                0.63968,                0.76534,                0.62016,                0.94899,              0.0013441,              0.0013441,              0.0013441
                     14,                 0.7491,                0.59578,                  1.001,                0.94279,                0.88372,                0.95608,                0.61959,                0.76624,                0.65731,                 0.9525,               0.001337,               0.001337,               0.001337
                     15,                0.71947,                0.59386,                 1.0002,                0.99071,                0.94376,                 0.9707,                0.62873,                0.71183,                0.56616,                0.92995,                0.00133,                0.00133,                0.00133
                     16,                 0.7248,                0.58487,                 1.0173,                 0.9198,                0.99713,                0.97545,                0.60675,                0.67142,                0.52468,                0.92567,              0.0013229,              0.0013229,              0.0013229
                     17,                0.70438,                0.56903,                0.97843,                0.95496,                      1,                0.99382,                0.67339,                0.71999,                0.57951,                0.93051,              0.0013158,              0.0013158,              0.0013158
                     18,                0.68611,                0.54901,                0.98164,                0.80504,                0.85534,                0.82326,                0.52037,                 0.7984,                0.54914,                0.95332,              0.0013087,              0.0013087,              0.0013087
                     19,                0.69719,                0.53807,                0.98257,                 0.9059,                0.88751,                0.91843,                0.56772,                0.84221,                0.52944,                0.96984,              0.0013017,              0.0013017,              0.0013017
                     20,                0.67683,                0.52732,                 0.9804,                0.90122,                0.95427,                0.95683,                0.65472,                0.74863,                0.53616,                0.94213,              0.0012946,              0.0012946,              0.0012946
                     21,                0.69988,                0.52604,                0.98517,                0.93819,                0.95315,                0.95583,                0.57425,                 1.0104,                0.59368,                 1.1437,              0.0012875,              0.0012875,              0.0012875
                     22,                0.71324,                0.52383,                0.99204,                0.96674,                0.95724,                  0.995,                0.60891,                0.73133,                0.53057,                0.93417,              0.0012805,              0.0012805,              0.0012805
                     23,                0.68706,                0.51248,                 0.9793,                0.93793,                      1,                0.99015,                0.65481,                0.72278,                0.48155,                0.92591,              0.0012734,              0.0012734,              0.0012734
                     24,                0.68818,                0.52369,                0.98387,                0.98463,                0.99903,                  0.995,                0.69478,                  0.725,                0.46398,                0.93904,              0.0012663,              0.0012663,              0.0012663
                     25,                0.67377,                0.50479,                0.97059,                0.94516,                0.97585,                0.98788,                0.65875,                0.69287,                0.46182,                0.92208,              0.0012592,              0.0012592,              0.0012592
                     26,                0.67712,                0.52181,                0.98963,                0.98589,                0.97842,                  0.995,                0.63206,                0.78889,                0.52359,                0.94705,              0.0012522,              0.0012522,              0.0012522
                     27,                0.66399,                0.49982,                0.97353,                0.94404,                 0.9538,                0.94525,                0.62097,                0.71267,                0.49107,                0.92708,              0.0012451,              0.0012451,              0.0012451
                     28,                0.65069,                0.50139,                0.97407,                0.93853,                 0.9375,                 0.9733,                0.65418,                0.66405,                 0.4548,                0.91921,               0.001238,               0.001238,               0.001238
                     29,                0.64439,                0.48104,                0.96511,                0.95066,                0.94951,                0.94813,                0.62275,                0.68776,                0.48537,                0.91943,              0.0012309,              0.0012309,              0.0012309
                     30,                0.65026,                0.48042,                0.97183,                0.93529,                 0.9637,                0.98427,                0.65589,                0.68749,                0.48495,                0.91841,              0.0012239,              0.0012239,              0.0012239
                     31,                0.64716,                0.47912,                0.96766,                0.93524,                 0.9697,                0.95818,                0.63083,                0.67967,                0.46427,                0.92885,              0.0012168,              0.0012168,              0.0012168
                     32,                0.62201,                0.45289,                0.97053,                0.94667,                 0.9697,                0.96604,                0.64478,                0.68161,                0.45217,                0.92681,              0.0012097,              0.0012097,              0.0012097
                     33,                0.63345,                0.46756,                0.96586,                0.94708,                0.96264,                0.95966,                0.62819,                0.73645,                0.43795,                0.92964,              0.0012026,              0.0012026,              0.0012026
                     34,                0.64915,                0.46705,                0.96414,                 0.9541,                0.95901,                0.97119,                0.62087,                 0.7647,                0.47817,                0.93741,              0.0011956,              0.0011956,              0.0011956
