                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0052,                 2.9698,                 1.2395,                0.02848,                0.33333,                0.33167,                0.25784,                 1.2328,                 2.8567,                  1.244,             0.00035725,             0.00035725,             0.00035725
                      2,                0.90553,                 1.3602,                 1.0993,                0.99937,                0.33333,                0.37494,                0.31456,                0.84868,                 1.2855,                  1.002,             0.00072518,             0.00072518,             0.00072518
                      3,                0.91437,                 1.0071,                 1.1215,                0.69373,                 0.4053,                0.65778,                0.45591,                0.75986,                0.95489,                0.95987,              0.0010894,              0.0010894,              0.0010894
                      4,                0.86785,                0.87864,                 1.0842,                0.54051,                0.61889,                 0.7101,                0.48474,                0.71705,                0.93824,                0.96712,              0.0014078,              0.0014078,              0.0014078
                      5,                0.83861,                0.83926,                 1.0609,                0.60508,                0.88395,                0.70911,                0.47194,                0.77294,                0.92074,                0.96231,              0.0014007,              0.0014007,              0.0014007
                      6,                0.83884,                0.78954,                 1.0776,                0.49357,                 0.8903,                0.71882,                0.47011,                0.84843,                0.81378,                 1.0025,              0.0013936,              0.0013936,              0.0013936
                      7,                0.78093,                0.73502,                 1.0314,                0.55891,                 0.9072,                0.75339,                0.51302,                0.87118,                0.76784,                0.98753,              0.0013866,              0.0013866,              0.0013866
                      8,                 0.7615,                0.70593,                  1.008,                0.57232,                0.86249,                0.66543,                0.45647,                0.88382,                0.86427,                 1.0165,              0.0013795,              0.0013795,              0.0013795
                      9,                0.76134,                0.67961,                 1.0168,                0.53208,                0.52652,                0.59461,                0.35834,                0.87639,                0.98918,                0.99738,              0.0013724,              0.0013724,              0.0013724
                     10,                0.75316,                0.66659,                 1.0146,                0.65777,                0.88617,                0.79848,                0.52405,                0.80077,                0.73498,                0.94885,              0.0013653,              0.0013653,              0.0013653
                     11,                0.73047,                0.66939,                 1.0121,                0.60543,                  0.875,                0.79744,                0.50887,                0.73291,                0.71419,                0.93398,              0.0013583,              0.0013583,              0.0013583
                     12,                0.71706,                0.63983,                0.99603,                0.63188,                0.90202,                0.76258,                 0.4752,                0.78064,                0.69822,                0.97085,              0.0013512,              0.0013512,              0.0013512
                     13,                0.71917,                0.62499,                 1.0049,                0.38099,                0.49621,                0.69824,                 0.4286,                0.96935,                 1.1226,                 1.0238,              0.0013441,              0.0013441,              0.0013441
                     14,                0.72489,                0.61699,                0.99591,                0.58332,                0.71023,                0.71449,                0.49677,                0.74575,                0.71395,                0.93415,               0.001337,               0.001337,               0.001337
                     15,                0.71588,                0.61327,                 1.0021,                0.61776,                0.81439,                0.77599,                0.54155,                 0.7045,                0.61229,                0.93055,                0.00133,                0.00133,                0.00133
                     16,                0.71055,                0.62136,                0.99355,                0.67448,                0.90434,                0.82644,                0.51901,                0.71131,                0.58922,                0.92925,              0.0013229,              0.0013229,              0.0013229
                     17,                0.71158,                 0.5804,                0.99662,                0.71577,                 0.8447,                0.87022,                0.57404,                0.75794,                0.57827,                0.94416,              0.0013158,              0.0013158,              0.0013158
                     18,                0.71268,                0.59137,                0.99297,                0.91581,                0.92789,                0.93507,                0.57636,                0.72887,                0.60972,                0.93525,              0.0013087,              0.0013087,              0.0013087
                     19,                0.71715,                0.55959,                0.98833,                0.75418,                0.94764,                0.95524,                0.60884,                0.73767,                0.58047,                0.92686,              0.0013017,              0.0013017,              0.0013017
                     20,                0.69005,                0.54851,                0.97664,                 0.8932,                0.94424,                0.97344,                0.64111,                0.69192,                0.55986,                0.92834,              0.0012946,              0.0012946,              0.0012946
                     21,                0.67123,                0.54186,                0.98051,                0.86765,                0.91976,                0.93074,                0.60683,                0.75662,                0.59646,                 0.9479,              0.0012875,              0.0012875,              0.0012875
                     22,                0.68128,                0.55498,                0.98878,                0.75561,                0.89386,                0.87684,                0.57468,                0.74961,                0.56783,                0.94249,              0.0012805,              0.0012805,              0.0012805
                     23,                0.66985,                0.54558,                0.99282,                0.86982,                0.89105,                0.97012,                0.63993,                0.66523,                 0.4778,                0.92084,              0.0012734,              0.0012734,              0.0012734
                     24,                0.67948,                0.53155,                0.99609,                0.92111,                 0.9072,                0.91835,                0.53159,                0.75451,                0.53271,                0.93304,              0.0012663,              0.0012663,              0.0012663
                     25,                0.66258,                0.50778,                0.97632,                0.92833,                0.91154,                0.95588,                0.66113,                0.70142,                0.46558,                0.94178,              0.0012592,              0.0012592,              0.0012592
                     26,                0.62747,                0.51122,                0.96155,                0.64635,                0.83055,                0.91128,                 0.5277,                0.83379,                0.72865,                0.96502,              0.0012522,              0.0012522,              0.0012522
                     27,                0.67318,                0.52803,                0.97176,                 0.9595,                 0.9697,                0.95224,                0.58825,                0.75955,                 0.4393,                0.93316,              0.0012451,              0.0012451,              0.0012451
                     28,                0.66105,                0.50642,                0.97976,                0.94695,                 0.9435,                0.94838,                0.59102,                0.71928,                 0.4397,                0.93203,               0.001238,               0.001238,               0.001238
                     29,                 0.6164,                0.47043,                0.96299,                0.97591,                0.97917,                0.99024,                0.67758,                0.68825,                0.42295,                0.92349,              0.0012309,              0.0012309,              0.0012309
                     30,                0.67586,                0.49225,                0.98019,                0.91885,                0.94886,                0.93398,                0.60069,                0.66214,                0.42578,                0.91921,              0.0012239,              0.0012239,              0.0012239
                     31,                0.64838,                0.48458,                0.98505,                0.94241,                0.96407,                0.97021,                0.63991,                0.63771,                0.39127,                0.91752,              0.0012168,              0.0012168,              0.0012168
                     32,                0.62847,                0.48708,                0.96986,                0.96691,                0.97917,                0.98478,                0.64911,                0.67702,                0.42201,                 0.9166,              0.0012097,              0.0012097,              0.0012097
                     33,                 0.6137,                0.46453,                0.95577,                 0.9117,                0.93505,                0.94839,                 0.6002,                0.76865,                0.51443,                0.94345,              0.0012026,              0.0012026,              0.0012026
                     34,                0.62442,                0.46003,                0.95114,                0.88562,                0.87907,                0.95504,                0.63012,                0.68413,                0.47664,                0.92247,              0.0011956,              0.0011956,              0.0011956
                     35,                0.67029,                0.48271,                 1.0036,                0.85404,                 0.8557,                0.93935,                 0.6308,                0.66961,                0.45017,                0.92123,              0.0011885,              0.0011885,              0.0011885
                     36,                0.64639,                0.46099,                0.97356,                0.78845,                0.90573,                0.94562,                0.61141,                0.67848,                0.51848,                0.91652,              0.0011814,              0.0011814,              0.0011814
                     37,                0.65228,                0.46466,                0.96362,                0.97766,                0.97514,                0.99382,                0.64737,                0.65939,                0.40315,                0.92242,              0.0011744,              0.0011744,              0.0011744
                     38,                0.63098,                0.46546,                 0.9643,                 0.9872,                 0.9574,                 0.9883,                0.68695,                0.64675,                0.38615,                0.91062,              0.0011673,              0.0011673,              0.0011673
                     39,                0.63262,                0.45712,                0.96073,                 0.9522,                0.96993,                0.99153,                0.63248,                0.66388,                0.41301,                0.91779,              0.0011602,              0.0011602,              0.0011602
                     40,                0.63057,                0.44824,                0.97129,                0.97086,                0.94314,                0.99278,                0.67446,                0.60407,                0.39977,                0.90392,              0.0011531,              0.0011531,              0.0011531
                     41,                0.61281,                0.44562,                0.97168,                0.98943,                0.94465,                  0.995,                0.64818,                 0.7161,                0.40485,                0.92408,              0.0011461,              0.0011461,              0.0011461
                     42,                0.60586,                0.43479,                0.95702,                0.90267,                0.91006,                 0.9563,                0.65487,                0.68814,                 0.4283,                 0.9183,               0.001139,               0.001139,               0.001139
                     43,                0.61871,                 0.4413,                0.96642,                0.97231,                0.97473,                0.99382,                0.68092,                0.65794,                0.39519,                0.91439,              0.0011319,              0.0011319,              0.0011319
                     44,                0.61311,                0.42898,                0.96517,                0.89436,                0.94469,                0.95084,                0.61806,                0.72197,                0.42697,                0.93548,              0.0011248,              0.0011248,              0.0011248
                     45,                0.59041,                0.42565,                0.95699,                0.92163,                0.96191,                0.96357,                0.64654,                0.62979,                0.38952,                 0.9111,              0.0011178,              0.0011178,              0.0011178
                     46,                0.59195,                0.43284,                 0.9448,                0.96796,                0.95833,                0.98899,                0.64426,                 0.6933,                0.39876,                0.92789,              0.0011107,              0.0011107,              0.0011107
                     47,                0.60784,                0.43774,                0.96587,                0.96794,                0.96901,                0.99382,                0.65332,                   0.67,                0.39061,                0.91935,              0.0011036,              0.0011036,              0.0011036
                     48,                0.60158,                0.42324,                0.95677,                0.97072,                0.97443,                  0.995,                0.66437,                 0.6143,                0.40282,                0.91476,              0.0010965,              0.0010965,              0.0010965
